Timestamp,Sync,Aux,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
182013.000000,255.000000,255.000000,-0.195811,0.520408,1.549109,-0.175206,0.051144,-0.075938,0.000000,0.000000
182014.000000,255.000000,255.000000,0.025960,0.517600,1.536886,-0.174344,0.073246,-0.020625,0.000000,0.000000
182015.000000,255.000000,255.000000,0.025960,0.517600,1.536886,-0.174344,0.073246,-0.020625,0.000000,0.000000
182016.000000,255.000000,255.000000,0.026688,0.517894,1.911864,-0.267327,-0.019348,-0.020326,0.000000,0.000000
182017.000000,255.000000,255.000000,0.027769,0.518245,0.779753,-0.361272,0.072747,-0.021106,0.000000,0.000000
182018.000000,255.000000,255.000000,-0.196523,0.296628,1.515051,-0.151698,0.052765,-0.020668,0.000000,0.000000
182019.000000,255.000000,255.000000,-0.418293,0.299451,1.527273,-0.152560,0.030663,-0.075981,0.000000,0.000000
182020.000000,255.000000,255.000000,-0.194001,0.521052,0.791975,-0.362134,0.050644,-0.076419,0.000000,0.000000
182021.000000,255.000000,255.000000,-0.195811,0.520408,1.549109,-0.175206,0.051144,-0.075938,0.000000,0.000000
182022.000000,255.000000,255.000000,0.025939,0.294659,1.521025,-0.338376,0.075247,-0.075035,0.000000,0.000000
182023.000000,255.000000,255.000000,-0.416483,0.300095,0.770140,-0.339486,0.030163,-0.076463,0.000000,0.000000
182024.000000,255.000000,255.000000,-0.416613,0.300298,1.150465,-0.245934,-0.063631,-0.076477,0.000000,0.000000
182025.000000,255.000000,255.000000,-0.418293,0.299451,1.527273,-0.152560,0.030663,-0.075981,0.000000,0.000000
182026.000000,255.000000,255.000000,0.025081,0.294568,1.526373,-0.151841,0.074047,-0.075348,0.000000,0.000000
182027.000000,255.000000,255.000000,-0.196523,0.296628,1.515051,-0.151698,0.052765,-0.020668,0.000000,0.000000
182028.000000,255.000000,255.000000,0.025081,0.294568,1.526373,-0.151841,0.074047,-0.075348,0.000000,0.000000
182029.000000,255.000000,255.000000,-0.189114,0.743224,1.153364,-0.102811,-0.042420,-0.131405,0.000000,0.000000
182030.000000,255.000000,255.000000,-0.196689,0.297376,1.538595,-0.152703,0.051945,-0.130661,0.000000,0.000000
182031.000000,255.000000,255.000000,-0.196523,0.296628,1.515051,-0.151698,0.052765,-0.020668,0.000000,0.000000
182032.000000,255.000000,255.000000,-0.195644,0.297719,1.159345,-0.059384,-0.041471,-0.130647,0.000000,0.000000
182033.000000,255.000000,255.000000,-0.196393,0.296425,1.134726,-0.245250,0.146559,-0.020654,0.000000,0.000000
182034.000000,255.000000,255.000000,-0.194713,0.297273,0.757918,-0.338624,0.052265,-0.021150,0.000000,0.000000
182035.000000,255.000000,255.000000,-0.416613,0.300298,1.150465,-0.245934,-0.063631,-0.076477,0.000000,0.000000
182036.000000,255.000000,255.000000,0.026760,0.295416,1.149565,-0.245215,-0.020246,-0.075844,0.000000,0.000000
182037.000000,255.000000,255.000000,0.025211,0.294365,1.146048,-0.245393,0.167841,-0.075334,0.000000,0.000000
182038.000000,255.000000,255.000000,-0.196523,0.296628,1.515051,-0.151698,0.052765,-0.020668,0.000000,0.000000
182039.000000,255.000000,255.000000,-0.196689,0.297376,1.538595,-0.152703,0.051945,-0.130661,0.000000,0.000000
182040.000000,255.000000,255.000000,0.025211,0.294365,1.146048,-0.245393,0.167841,-0.075334,0.000000,0.000000
182041.000000,255.000000,255.000000,-0.195514,0.297516,0.779020,-0.152936,0.052323,-0.130633,0.000000,0.000000
182042.000000,255.000000,255.000000,-0.196689,0.297376,1.538595,-0.152703,0.051945,-0.130661,0.000000,0.000000
182043.000000,255.000000,255.000000,-0.196689,0.297376,1.538595,-0.152703,0.051945,-0.130661,0.000000,0.000000
182044.000000,255.000000,255.000000,0.025211,0.294365,1.146048,-0.245393,0.167841,-0.075334,0.000000,0.000000
182045.000000,255.000000,255.000000,0.025211,0.294365,1.146048,-0.245393,0.167841,-0.075334,0.000000,0.000000
182046.000000,255.000000,255.000000,-0.196560,0.297173,1.158270,-0.246255,0.145739,-0.130647,0.000000,0.000000
182047.000000,255.000000,255.000000,0.026760,0.295416,1.149565,-0.245215,-0.020246,-0.075844,0.000000,0.000000
182048.000000,255.000000,255.000000,0.026760,0.295416,1.149565,-0.245215,-0.020246,-0.075844,0.000000,0.000000
182049.000000,255.000000,255.000000,0.025211,0.294365,1.146048,-0.245393,0.167841,-0.075334,0.000000,0.000000
182050.000000,255.000000,255.000000,-0.416483,0.300095,0.770140,-0.339486,0.030163,-0.076463,0.000000,0.000000
