Timestamp,Sync,Aux,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
109824.000000,255.000000,255.000000,-2.090899,6.825830,837.863098,-14.930135,3.445893,0.011289,-0.004113,-0.017819
109825.000000,255.000000,255.000000,-2.090732,6.825082,837.839539,-14.929128,3.446709,0.121282,-0.004114,-0.017819
109826.000000,255.000000,255.000000,-2.087445,6.827316,837.482117,-15.023175,3.165587,0.011107,-0.003780,-0.017939
109827.000000,255.000000,255.000000,-2.090020,7.048862,837.873657,-14.952641,3.445091,0.066012,-0.004112,-0.017846
109828.000000,255.000000,255.000000,-2.090899,6.825830,837.863098,-14.930135,3.445893,0.011289,-0.004113,-0.017819
109829.000000,255.000000,255.000000,-2.090899,6.825830,837.863098,-14.930135,3.445893,0.011289,-0.004113,-0.017819
109830.000000,255.000000,255.000000,-2.090020,7.048862,837.873657,-14.952641,3.445091,0.066012,-0.004112,-0.017846
109831.000000,255.000000,255.000000,-2.090020,7.048862,837.873657,-14.952641,3.445091,0.066012,-0.004112,-0.017846
109832.000000,255.000000,255.000000,-1.870938,6.822363,838.608032,-14.742345,3.468491,0.067084,-0.004136,-0.017580
109833.000000,255.000000,255.000000,-1.869929,7.045192,838.238220,-14.858403,3.561486,0.121821,-0.004249,-0.017726
109834.000000,255.000000,255.000000,-2.090020,7.048862,837.873657,-14.952641,3.445091,0.066012,-0.004112,-0.017846
109835.000000,255.000000,255.000000,-2.091699,7.048015,838.250427,-14.859265,3.539383,0.066508,-0.004222,-0.017727
109836.000000,255.000000,255.000000,-2.086048,7.270488,838.233948,-14.880185,3.539238,0.011027,-0.004222,-0.017752
109837.000000,255.000000,255.000000,-2.092578,6.824983,838.239929,-14.836759,3.540184,0.011785,-0.004223,-0.017700
109838.000000,255.000000,255.000000,-2.090784,7.048562,838.251587,-14.672395,3.352180,0.066508,-0.003999,-0.017504
109839.000000,255.000000,255.000000,-2.091101,7.048512,839.005798,-14.858697,3.352997,0.066793,-0.003996,-0.017710
109840.000000,255.000000,255.000000,-2.091101,7.048512,839.005798,-14.858697,3.352997,0.066793,-0.003996,-0.017710
109841.000000,255.000000,255.000000,-2.090150,7.049065,838.253967,-14.859090,3.351296,0.065998,-0.003998,-0.017726
109842.000000,255.000000,255.000000,-2.086178,7.270691,838.614258,-14.786633,3.445442,0.011013,-0.004108,-0.017632
109843.000000,255.000000,255.000000,-1.864575,7.268616,838.625610,-14.786778,3.466728,-0.043660,-0.004134,-0.017632
109844.000000,255.000000,255.000000,-2.091829,7.048218,838.630798,-14.765714,3.445595,0.066494,-0.004109,-0.017607
109845.000000,255.000000,255.000000,-2.086178,7.270691,838.614258,-14.786633,3.445442,0.011013,-0.004108,-0.017632
109846.000000,255.000000,255.000000,-1.642805,7.265793,838.613403,-14.785916,3.488831,0.011654,-0.004160,-0.017631
109847.000000,255.000000,255.000000,-1.640397,7.266934,838.611572,-14.972276,3.301941,0.011457,-0.003937,-0.017854
109848.000000,255.000000,255.000000,-1.863847,7.268910,839.000610,-14.879762,3.374130,-0.043360,-0.004022,-0.017735
109849.000000,255.000000,255.000000,-2.085133,7.271035,838.235046,-14.693315,3.352027,0.011027,-0.003999,-0.017529
109850.000000,255.000000,255.000000,-1.863680,7.268162,838.977051,-14.878755,3.374947,0.066625,-0.004023,-0.017734
109851.000000,255.000000,255.000000,-1.863680,7.268162,838.977051,-14.878755,3.374947,0.066625,-0.004023,-0.017734
109852.000000,255.000000,255.000000,-1.642076,7.266087,838.988403,-14.878900,3.396233,0.011953,-0.004048,-0.017734
109853.000000,255.000000,255.000000,-1.642206,7.266290,839.368713,-14.785348,3.302437,0.011939,-0.003934,-0.017615
109854.000000,255.000000,255.000000,-1.642206,7.266290,839.368713,-14.785348,3.302437,0.011939,-0.003934,-0.017615
109855.000000,255.000000,255.000000,-1.863810,7.268365,839.357361,-14.785203,3.281151,0.066611,-0.003909,-0.017615
109856.000000,255.000000,255.000000,-1.863810,7.268365,839.357361,-14.785203,3.281151,0.066611,-0.003909,-0.017615
109857.000000,255.000000,255.000000,-1.863810,7.268365,839.357361,-14.785203,3.281151,0.066611,-0.003909,-0.017615
109858.000000,255.000000,255.000000,-1.863810,7.268365,839.357361,-14.785203,3.281151,0.066611,-0.003909,-0.017615
109859.000000,255.000000,255.000000,-1.642206,7.266290,839.368713,-14.785348,3.302437,0.011939,-0.003934,-0.017615
109860.000000,255.000000,255.000000,-1.645212,7.042564,840.869568,-14.762222,3.304552,-0.042018,-0.003930,-0.017556
109861.000000,255.000000,255.000000,-1.864127,7.268316,840.111633,-14.971504,3.281976,0.066896,-0.003907,-0.017821
109862.000000,255.000000,255.000000,-1.872336,6.821963,840.494385,-14.834709,3.377214,0.068149,-0.004018,-0.017650
109863.000000,255.000000,255.000000,-1.644333,7.265596,840.880066,-14.784729,3.303758,0.012705,-0.003929,-0.017582
109864.000000,255.000000,255.000000,-1.649256,7.043433,841.271545,-14.856785,3.211313,0.068485,-0.003817,-0.017660
109865.000000,255.000000,255.000000,-1.649984,7.043138,840.896545,-14.763802,3.303903,0.068186,-0.003929,-0.017557
109866.000000,255.000000,255.000000,-1.649256,7.043433,841.271545,-14.856785,3.211313,0.068485,-0.003817,-0.017660
109867.000000,255.000000,255.000000,-1.649256,7.043433,841.271545,-14.856785,3.211313,0.068485,-0.003817,-0.017660
109868.000000,255.000000,255.000000,-1.871905,7.045149,841.639465,-14.949959,3.283442,0.123144,-0.003901,-0.017763
109869.000000,255.000000,255.000000,-1.871905,7.045149,841.639465,-14.949959,3.283442,0.123144,-0.003901,-0.017763
109870.000000,255.000000,255.000000,-1.872035,7.045352,842.019836,-14.856407,3.189654,0.123130,-0.003788,-0.017644
109871.000000,255.000000,255.000000,-1.872035,7.045352,842.019836,-14.856407,3.189654,0.123130,-0.003788,-0.017644
109872.000000,255.000000,255.000000,-1.651310,6.820260,842.020630,-14.834045,3.211734,0.013734,-0.003814,-0.017617
109873.000000,255.000000,255.000000,-1.656233,6.598081,842.412109,-14.906109,3.119288,0.069514,-0.003703,-0.017695
109874.000000,255.000000,255.000000,-1.656233,6.598081,842.412109,-14.906109,3.119288,0.069514,-0.003703,-0.017695
109875.000000,255.000000,255.000000,-1.434463,6.595258,842.399902,-14.905247,3.141391,0.124827,-0.003729,-0.017694
109876.000000,255.000000,255.000000,-1.656233,6.598081,842.412109,-14.906109,3.119288,0.069514,-0.003703,-0.017695
109877.000000,255.000000,255.000000,-1.433735,6.595552,842.774902,-14.998230,3.048793,0.125127,-0.003618,-0.017796
109878.000000,255.000000,255.000000,-1.433735,6.595552,842.774902,-14.998230,3.048793,0.125127,-0.003618,-0.017796
109879.000000,255.000000,255.000000,-1.433735,6.595552,842.774902,-14.998230,3.048793,0.125127,-0.003618,-0.017796
109880.000000,255.000000,255.000000,-1.433735,6.595552,842.774902,-14.998230,3.048793,0.125127,-0.003618,-0.017796
109881.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109882.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109883.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109884.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109885.000000,255.000000,255.000000,-1.432206,6.373662,842.762573,-15.162075,2.862712,0.070207,-0.003397,-0.017991
109886.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109887.000000,255.000000,255.000000,-1.433006,6.595847,843.149841,-15.091213,2.956202,0.125426,-0.003506,-0.017899
109888.000000,255.000000,255.000000,-1.433136,6.596050,843.530151,-14.997662,2.862406,0.125412,-0.003393,-0.017780
109889.000000,255.000000,255.000000,-1.437108,6.374440,843.169861,-15.070103,2.768267,0.180397,-0.003283,-0.017873
109890.000000,255.000000,255.000000,-1.436380,6.374734,843.544861,-15.163082,2.675669,0.180696,-0.003172,-0.017975
109891.000000,255.000000,255.000000,-1.215489,6.148880,843.522095,-15.139721,2.698573,0.181286,-0.003199,-0.017948
109892.000000,255.000000,255.000000,-1.437258,6.151702,843.534363,-15.140583,2.676471,0.125973,-0.003173,-0.017949
109893.000000,255.000000,255.000000,-1.437258,6.151702,843.534363,-15.140583,2.676471,0.125973,-0.003173,-0.017949
109894.000000,255.000000,255.000000,-1.437128,6.151499,843.153992,-15.234135,2.770266,0.125987,-0.003286,-0.018068
109895.000000,255.000000,255.000000,-1.437128,6.151499,843.153992,-15.234135,2.770266,0.125987,-0.003286,-0.018068
109896.000000,255.000000,255.000000,-1.437258,6.151702,843.534363,-15.140583,2.676471,0.125973,-0.003173,-0.017949
109897.000000,255.000000,255.000000,-1.215489,6.148880,843.522095,-15.139721,2.698573,0.181286,-0.003199,-0.017948
109898.000000,255.000000,255.000000,-1.221140,5.926406,843.538574,-15.118793,2.698725,0.236763,-0.003199,-0.017923
109899.000000,255.000000,255.000000,-1.442910,5.929229,843.550842,-15.119656,2.676623,0.181450,-0.003173,-0.017924
109900.000000,255.000000,255.000000,-1.441864,5.929573,843.171570,-15.026337,2.583208,0.181464,-0.003064,-0.017821
109901.000000,255.000000,255.000000,-1.435412,5.929862,842.767761,-15.118134,2.489564,0.070768,-0.002954,-0.017939
109902.000000,255.000000,255.000000,-1.661788,5.932496,842.783386,-15.119568,2.467630,0.235641,-0.002928,-0.017940
109903.000000,255.000000,255.000000,-1.435579,6.152550,843.157532,-15.233959,2.582179,0.125478,-0.003063,-0.018068
109904.000000,255.000000,255.000000,-1.434851,6.152844,843.532471,-15.326942,2.489581,0.125777,-0.002951,-0.018170
109905.000000,255.000000,255.000000,-1.213081,6.150021,843.520264,-15.326080,2.511683,0.181090,-0.002978,-0.018169
109906.000000,255.000000,255.000000,-1.217687,5.927892,843.157471,-15.211834,2.418420,0.236581,-0.002868,-0.018042
109907.000000,255.000000,255.000000,-1.213809,6.149727,843.145264,-15.233097,2.604281,0.180791,-0.003089,-0.018067
109908.000000,255.000000,255.000000,-1.218415,5.927598,842.782532,-15.118851,2.511011,0.236282,-0.002979,-0.017939
109909.000000,255.000000,255.000000,-1.218415,5.927598,842.782532,-15.118851,2.511011,0.236282,-0.002979,-0.017939
109910.000000,255.000000,255.000000,-1.217687,5.927892,843.157471,-15.211834,2.418420,0.236581,-0.002868,-0.018042
109911.000000,255.000000,255.000000,-1.218732,5.927548,843.536743,-15.305153,2.511836,0.236567,-0.002978,-0.018144
109912.000000,255.000000,255.000000,-1.218732,5.927548,843.536743,-15.305153,2.511836,0.236567,-0.002978,-0.018144
109913.000000,255.000000,255.000000,-1.439290,5.929967,843.146179,-15.211689,2.397134,0.291253,-0.002843,-0.018042
109914.000000,255.000000,255.000000,-1.217053,5.928396,843.159973,-15.398529,2.417544,0.236072,-0.002867,-0.018263
109915.000000,255.000000,255.000000,-1.437611,5.930815,842.769348,-15.305065,2.302843,0.290758,-0.002732,-0.018160
109916.000000,255.000000,255.000000,-1.217687,5.927892,843.157471,-15.211834,2.418420,0.236581,-0.002868,-0.018042
109917.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109918.000000,255.000000,255.000000,-1.438656,5.708530,842.782410,-15.283573,2.302827,0.126049,-0.002732,-0.018135
109919.000000,255.000000,255.000000,-1.438656,5.708530,842.782410,-15.283573,2.302827,0.126049,-0.002732,-0.018135
109920.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109921.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109922.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109923.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109924.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109925.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109926.000000,255.000000,255.000000,-1.216886,5.705708,842.770203,-15.282711,2.324930,0.181362,-0.002759,-0.018134
109927.000000,255.000000,255.000000,-1.216007,5.928740,842.780701,-15.305210,2.324129,0.236085,-0.002758,-0.018160
109928.000000,255.000000,255.000000,-1.216158,5.706002,843.145203,-15.375694,2.232332,0.181661,-0.002648,-0.018236
